location_block,text_general_code,crime_type,crime_x,crime_y,lat,lng
400 BLOCK E WYOMING AV,Homicide - Criminal,Violent Crime,-75.11646534,40.02052897,40.02052897200008,-75.11646534299996
5400 BLOCK WALNUT ST,Homicide - Criminal,Violent Crime,-75.23080574,39.95755729,39.957557285000064,-75.23080574199997
5900 BLOCK CALLOWHILL ST,Homicide - Criminal,Violent Crime,-75.23856151,39.96794486,39.967944859000056,-75.23856151099994
700 BLOCK E OLNEY AV,Homicide - Criminal,Violent Crime,-75.11282081,40.03195863,40.031958631000066,-75.11282080899997
7100 BLOCK MONTAGUE ST,Homicide - Criminal,Violent Crime,-75.04141873,40.03369309,40.033693088000064,-75.04141872599996
1200 BLOCK FAIRMOUNT AV,Homicide - Criminal,Violent Crime,-75.15778497,39.96640571,39.96640570500006,-75.15778496499996
1900 BLOCK PLYMOUTH ST,Homicide - Criminal,Violent Crime,-75.15010155,40.06470888,40.06470888400003,-75.15010154899994
3100 BLOCK W DAUPHIN ST,Homicide - Criminal,Violent Crime,-75.18397371,39.99154311,39.99154310900008,-75.18397371299994
3600 BLOCK N WARNOCK ST,Homicide - Criminal,Violent Crime,-75.14554041,40.00728773,40.00728772900004,-75.14554041399998
3700 BLOCK POPPY DR,Homicide - Criminal,Violent Crime,-75.01409433,40.05467655,40.05467654700004,-75.01409432499997
3900 BLOCK MELON ST,Homicide - Criminal,Violent Crime,-75.20076439,39.96478799,39.96478799100004,-75.20076438899997
5100 BLOCK N 2ND ST,Homicide - Criminal,Violent Crime,-75.12677666,40.02902848,40.02902848300005,-75.12677665799998
5800 BLOCK N 6TH ST,Homicide - Criminal,Violent Crime,-75.13149389,40.04088893,40.04088892500005,-75.13149389099993
9000 BLOCK DIPLOMAT PL,Homicide - Criminal,Violent Crime,-75.0386984,40.07833283,40.07833283100007,-75.03869839499998
1200 BLOCK VAN KIRK ST,Homicide - Criminal,Violent Crime,-75.08593572,40.03460614,40.03460613800007,-75.08593571599994
4700 BLOCK GRISCOM ST,Homicide - Criminal,Violent Crime,-75.08447925,40.01739082,40.01739082200004,-75.08447925399997
5400 BLOCK MASTER ST,Homicide - Criminal,Violent Crime,-75.23104816,39.9737811,39.973781098000075,-75.23104815999994
600 BLOCK N 32ND ST,Homicide - Criminal,Violent Crime,-75.18882551,39.96467198,39.96467198300007,-75.18882551399997
900 BLOCK TUSTIN ST,Homicide - Criminal,Violent Crime,-75.06790449,40.07950637,40.07950636900006,-75.06790449499994
4900 BLOCK RORER ST,Homicide - Criminal,Violent Crime,-75.11434458,40.02456989,40.02456988800003,-75.11434458099995
6700 BLOCK LEBANON AV,Homicide - Criminal,Violent Crime,-75.2543906,39.97580104,39.97580104100007,-75.25439060399998
900 BLOCK SYDNEY ST,Homicide - Criminal,Violent Crime,-75.18036665,40.06890135,40.06890134500003,-75.18036664599998
5000 BLOCK GLENLOCH ST,Homicide - Criminal,Violent Crime,-75.07376625,40.01496113,40.014961130000074,-75.07376624899996
5000 BLOCK DUFFIELD ST,Homicide - Criminal,Violent Crime,-75.07686198,40.01967309,40.01967308900004,-75.07686197799995
6000 BLOCK BINGHAM ST,Homicide - Criminal,Violent Crime,-75.09756847,40.04426296,40.04426295600007,-75.09756847199998
6000 BLOCK BINGHAM ST,Homicide - Criminal,Violent Crime,-75.09756847,40.04426296,40.04426295600007,-75.09756847199998
2900 BLOCK N BAMBREY ST,Homicide - Criminal,Violent Crime,-75.17265502,39.99959079,39.99959079400003,-75.17265502199996
3400 BLOCK GOODMAN ST,Homicide - Criminal,Violent Crime,-75.14746544,40.00463206,40.00463206100005,-75.14746544199994
0 BLOCK E WISTER ST,Homicide - Criminal,Violent Crime,-75.16372752,40.03119389,40.031193890000054,-75.16372751899996
2300 BLOCK E HAROLD ST,Homicide - Criminal,Violent Crime,-75.12005703,39.98119153,39.981191530000046,-75.12005702699997
